suggested_element,score,text,file,line,source,p_uicontrol,p_filepath,p_codeph,choice,context
codeph,0.970,-Xmx2048m,topics/ch_technical_issues.dita,22,codeph/flag,0.020,0.010,0.970,codeph,"Use the -Xmx<NNN>m command-line parameter to specify a bigger value for the maximum allocated memory. If you are running Java on 64-bit, you can specify a larger memory size (for example, [[-Xmx2048m]])."
codeph,0.970,-q,topics/eppo-installation-windows.dita,71,any/emphasis,0.030,0.020,0.970,codeph,"You can run the installation in unattended mode by running the installer from the command line with the [[-q]] parameter. By default, running the installer in unattended mode installs with the default options and does not overwrite existing files. You can change various options for the unattended installer using the installer command-line parameters."
codeph,0.970,-Xmx,topics/increase-java-memory.dita,39,codeph/flag,0.080,0.010,0.970,codeph,"Locate the JVM Arguments and increase the default value. For instance, to set 2 gigabytes as the maximum amount of memory, you can use: -Xmx2g. If you do not specify the [[-Xmx]] value in this field, by default, the application will use a maximum of 512 megabytes when used with a 32-bit Java Virtual Machine and one gigabyte with a 64-bit Java Virtual Machine."
codeph,0.970,-Xmx,topics/set-parameters-command-line-scripts.dita,25,codeph/flag,0.020,0.010,0.970,codeph,"For example, to set the maximum amount of Java memory to 2 GB in Windows, add the [[-Xmx]] parameter to the last line of the .bat file like this: "
codeph,0.970,-Dee8.preview.mode=true,topics/wa-wildfly-tutorial.dita,22,codeph/flag,0.030,0.020,0.970,codeph,Run the standalone.bat (standalone.sh in Linux) executable from a command line and include the [[-Dee8.preview.mode=true]] system property. For example:./standalone.sh -Dee8.preview.mode=true
codeph,0.970,ro.sync.xml.parser.CatalogEnabledXMLReader,topics/xpath-catalogs.dita,22,codeph/identifier,0.010,0.030,0.970,codeph,"As an example, consider the evaluation of the collection(URIofCollection) function (XPath 2.0). To resolve the references from the files returned by the collection() function with an XML catalog, specify the class name of the catalog-enabled parser for parsing these collection files. The class name is [[ro.sync.xml.parser.CatalogEnabledXMLReader]]. Specify it as it follows:let $docs := collection("
codeph,0.960,editlink.present.only.path.to.topic,reusables/topics/reusables-webhelp-output-parameters.dita,381,codeph/identifier,0.200,0.040,0.960,codeph,"[[editlink.present.only.path.to.topic]] || When this parameter is set to ""true"", the DITA topic path is displayed to the right of each topic title in the WebHelp Responsive output. Also, when this parameter is used, the editlink.ditamap.edit.url, editlink.remote.ditamap.url, and editlink.web.author.url parameters are ignored."
codeph,0.960,AuthorComponentFactory.getPluginToolbarCustomizers(),topics/author-component-plugins.dita,21,codeph/call,0.070,0.020,0.960,codeph,"In the class that instantiates the AuthorComponentFactory (for example the ro.sync.ecss.samples.AuthorComponentSample class), call the methods [[AuthorComponentFactory.getPluginToolbarCustomizers()]], AuthorComponentFactory.getPluginViewCustomizers(), and AuthorComponentFactory.getMenubarCustomizers(), obtain the customizers that have been added by the plugins and call them to obtain the custom sw"
codeph,0.960,AuthorComponentFactory,topics/author-component-plugins.dita,21,any/emphasis,0.050,0.060,0.960,codeph,"In the class that instantiates the [[AuthorComponentFactory]] (for example the ro.sync.ecss.samples.AuthorComponentSample class), call the methods AuthorComponentFactory.getPluginToolbarCustomizers(), AuthorComponentFactory.getPluginViewCustomizers(), and AuthorComponentFactory.getMenubarCustomizers(), obtain the customizers that have been added by the plugins and call them to obtain the custom sw"
codeph,0.960,ro.sync.ecss.extensions.api.ExtensionsBundle.getAuthorImageDecorator(),topics/author-image-decorator.dita,26,codeph/call,0.030,0.020,0.960,codeph,"If you have configured an extensions bundle, you can return the AuthorImageDecorator implementation using the [[ro.sync.ecss.extensions.api.ExtensionsBundle.getAuthorImageDecorator()]] method."
codeph,0.960,-no-network,topics/ch_command_line_interface.dita,209,codeph/flag,0.090,0.020,0.960,codeph,"[[-no-network]] || Denies access to all your network connections. If your XML document or CSS files reference remote resources, the transformation will fail. This parameter is ignored when the -security-policy file is specified."
codeph,0.960,-oxy-show-only-when-caption-repeated-on-next-pages,topics/ch_css_extensions.dita,643,codeph/flag,0.110,0.020,0.960,codeph,"[[-oxy-show-only-when-caption-repeated-on-next-pages]] || This property only affects a :before or :after pseudo element that is associated with a table caption (an element with the table caption display marked with -oxy-caption-repeat-on-next-pages:yes). It signals that the static content is to be used only when the caption is displayed the second time (on the subsequent pages), when the table is "
codeph,0.960,integratedSecurity,topics/configure-sql-server-connection.dita,50,codeph/identifier,0.090,0.020,0.960,codeph,"If you want to connect to the server using Windows integrated authentication, you must add ;[[integratedSecurity]]=true to the end of the URL. The URL will look like this:jdbc:sqlserver://localhost;instanceName=SQLEXPRESS;integratedSecurity=true;For integrated authentication, leave the User and Password fields empty. "
codeph,0.960,integratedSecurity=true,topics/configure-sql-server-connection.dita,50,any/emphasis,0.040,0.010,0.960,codeph,"If you want to connect to the server using Windows integrated authentication, you must add ;[[integratedSecurity=true]] to the end of the URL. The URL will look like this:jdbc:sqlserver://localhost;instanceName=SQLEXPRESS;integratedSecurity=true;For integrated authentication, leave the User and Password fields empty. "
codeph,0.960,getDisplayName,topics/dg-author-references-resolver.dita,60,codeph/identifier,0.030,0.020,0.960,codeph,"The method [[getDisplayName]] returns the display name of the node that contains the expanded referenced content. It takes AuthorNode as an argument that represents the node that needs the display name. The referenced content engine will ask this AuthorReferenceResolver implementation for the display name for each node that is considered a reference. In the following example, the display name is t"
codeph,0.960,AuthorSchemaAwareEditingHandlerAdapter,topics/dg-author-schema-aware-editing-handler.dita,39,any/emphasis,0.040,0.040,0.960,codeph,"To instruct to use this newly created implementation, configure an extensions bundle and return the [[AuthorSchemaAwareEditingHandlerAdapter]] implementation using the ro.sync.ecss.extensions.api.ExtensionsBundle.getAuthorSchemaAwareEditingHandlerAdapter() method."
codeph,0.960,-Dsun.java2d.pmoffscreen=false,topics/display-problems-linux.dita,15,codeph/flag,0.030,0.020,0.960,codeph,Add the following startup parameter: [[-Dsun.java2d.pmoffscreen=false]].
codeph,0.960,-q,topics/eppo-installation-linux.dita,95,any/emphasis,0.030,0.020,0.960,codeph,"You can run the installation in unattended mode by running the installer from the command line with the [[-q]] parameter. By default, running the installer in unattended mode installs with the default options and does not overwrite existing files. You can change various options for the unattended installer using the installer command-line parameters."
codeph,0.960,-console,topics/eppo-installation-windows.dita,99,codeph/flag,0.100,0.030,0.960,codeph,"[[-console]] || Displays a console during an unattended installation.If you want the installer to run in the foreground, you need to use the start /wait command (for example, start /wait oxygen-64bit-openjdk.exe -q -console). Otherwise, it will run in the background."
codeph,0.960,fix.external.refs.com.oxygenxml,topics/import-dynamic-conversions.dita,140,codeph/identifier,0.180,0.030,0.960,codeph,"If you are publishing a DITA map that has such conversion URL references inside, you need to edit the transformation scenario and set the value of the parameter [[fix.external.refs.com.oxygenxml]] to true. This will instruct to resolve such references during a special pre-processing stage. Depending on the conversion, you may also require additional libraries to be added using the Libaries button "
codeph,0.960,-Xmx,topics/large-file-viewer.dita,20,codeph/flag,0.040,0.020,0.960,codeph,"The best performance of the viewer is obtained for encodings that use a fixed number of bytes per character (such as UTF-16 or ASCII). The performance for UTF-8 is very good for documents that use mostly characters of the European languages. For the same encoding, the rendering performance is higher for files consisting of long lines (up to few thousands characters) and may degrade for short lines"
codeph,0.960,-Xmx,topics/set-parameters-for-application-launchers.dita,17,codeph/flag,0.020,0.020,0.960,codeph,"For Windows and Linux installations of , the startup launchers for the application and its executable internal tools (Tree Editor, XML Schema Regular Expressions Builder, Large File Viewer, SVN Client, Compare Directories, and Compare Files) include a default .vmoptions file in the installation directory that contains some startup parameters (such the [[-Xmx]] parameter, which is used for allocati"
codeph,0.960,-Xmx,topics/set-parameters-for-application-launchers.dita,31,codeph/flag,0.030,0.030,0.960,codeph,"Locate the [[-Xmx]] parameter in the oxygen.vmoptionsoxygenAuthor.vmoptionsoxygenDeveloper.vmoptionsoxygenJSONEditor.vmoptionssyncroSVNClient.vmoptions file. If it is located in a directory where you do not have write access, copy the file to another folder (where you do have write access), modify it there, and then copy it back to the original location.The parameters from the .vmoptions file are "
