suggested_element,score,text,file,line,source,p_uicontrol,p_filepath,p_codeph,choice,context
codeph,0.978,handleTyping,topics/dg-author-schema-aware-editing-handler.dita,49,codeph/identifier,0.045,0.127,0.978,codeph,"Typing events can be handled using the [[handleTyping]] method. For example, the AuthorSchemaAwareEditingHandler checks if the schema is not a learned one, was loaded successfully, and if the Smart paste and drag and drop option is selected. If these conditions are met, the event will be handled."
codeph,0.977,AuthorComponentFactory.getPluginViewCustomizers(),topics/author-component-plugins.dita,21,codeph/call,0.086,0.058,0.977,codeph,"In the class that instantiates the AuthorComponentFactory (for example the ro.sync.ecss.samples.AuthorComponentSample class), call the methods AuthorComponentFactory.getPluginToolbarCustomizers(), [[AuthorComponentFactory.getPluginViewCustomizers()]], and AuthorComponentFactory.getMenubarCustomizers(), obtain the customizers that have been added by the plugins and call them to obtain the custom sw"
codeph,0.977,ro.sync.exml.Oxygen,topics/debugging-java-extensions.dita,42,codeph/identifier,0.042,0.225,0.977,codeph,The main Java class [[ro.sync.exml.Oxygen]] is located in the oxygen.jar file.
codeph,0.977,"PluginWorkspaceProvider.getPluginWorkspace().setGlobalObjectProperty(key, value)",topics/sharing-possibilities.dita,53,any/emphasis,0.034,0.098,0.977,codeph,"The Maven-based Oxygen XML SDK includes a sample plugin called ImposeOptions that imposes a fixed set of options when the application starts. This can be achieved by using the [[PluginWorkspaceProvider.getPluginWorkspace().setGlobalObjectProperty(key, value)]] API method."
codeph,0.976,ro.sync.exml.workspace.api.editor.page.ditamap.keys.KeyDefinitionManager,topics/wa-attr_from_external_data_source.dita,30,codeph/identifier,0.065,0.109,0.976,codeph,"For DITA documents, if a Subject Scheme map is referenced in the root DITA map, it will be used when proposing values for an attribute. If having a static map with possible attribute values is not flexible enough, you can use the [[ro.sync.exml.workspace.api.editor.page.ditamap.keys.KeyDefinitionManager]] API class. It has a getEnumerationDefinitions method that can be used to return possible valu"
codeph,0.975,createXMLNodeCustomizer,topics/configuring-xml-node-renderer-customizer.dita,30,codeph/identifier,0.155,0.109,0.975,codeph,"As a part of a bundle, returning it from the [[createXMLNodeCustomizer]]() method of the ExtensionsBundle associated with your document type in the Document type configuration dialog box (Extensions bundle field in the Extensions tab)."
codeph,0.974,filterAttributeValues,topics/dg-author-content-completion-handler.dita,108,codeph/identifier,0.129,0.067,0.974,codeph,The elements or attributes values can be filtered using the filterElementValues or [[filterAttributeValues]] methods.
codeph,0.974,ro.sync.xml.parser.CatalogEnabledXMLReader,topics/xpath-catalogs.dita,22,codeph/identifier,0.089,0.107,0.974,codeph,"As an example, consider the evaluation of the collection(URIofCollection) function (XPath 2.0). To resolve the references from the files returned by the collection() function with an XML catalog, specify the class name of the catalog-enabled parser for parsing these collection files. The class name is [[ro.sync.xml.parser.CatalogEnabledXMLReader]]. Specify it as it follows:let $docs := collection("
codeph,0.974,createXMLNodeCustomizer(),topics/configuring-xml-node-renderer-customizer.dita,30,codeph/call,0.178,0.122,0.974,codeph,"As a part of a bundle, returning it from the [[createXMLNodeCustomizer()]] method of the ExtensionsBundle associated with your document type in the Document type configuration dialog box (Extensions bundle field in the Extensions tab)."
codeph,0.973,ro.sync.exml.Oxygen,topics/debugging-java-extensions.dita,40,codeph/identifier,0.064,0.169,0.973,codeph,Set the class [[ro.sync.exml.Oxygen]] as the main Java class of the configuration.
codeph,0.973,jdbc_driver,topics/dg-operations-with-arguments.dita,233,codeph/identifier,0.525,0.092,0.973,codeph,"Use the Java operation defined earlier to set the Invoke operation field. Click the Choose button, then select simple.documentation.framework.QueryDatabaseOperation. Once selected, the list of arguments is displayed. In the figure below the first argument, [[jdbc_driver]], represents the class name of the MySQL JDBC driver. The connection string has the URL syntax: jdbc://<database_host>:<database"
